team,path,distance
UMBC,UMBC->Vermont->Pepperdine->New Orleans->TCU->Wisconsin->Michigan,6
NJIT,NJIT->Vermont->Pepperdine->New Orleans->TCU->Wisconsin->Michigan,6
Little Rock,Little Rock->Eastern Illinois->Nicholls State->New Orleans->TCU->Wisconsin->Michigan,6
UNC Greensboro,UNC Greensboro->East Carolina->Memphis->New Orleans->TCU->Wisconsin->Michigan,6
Oral Roberts,Oral Roberts->Montana State->Cal Poly->Utah->TCU->Wisconsin->Michigan,6
Utah Valley,Utah Valley->Bowling Green->Kansas State->West Virginia->BYU->Wisconsin->Michigan,6
Southern Utah,Southern Utah->Abilene Christian->Pepperdine->New Orleans->TCU->Wisconsin->Michigan,6
Idaho State,Idaho State->San Diego->Pepperdine->New Orleans->TCU->Wisconsin->Michigan,6
North Florida,North Florida->North Alabama->Northwestern State->New Orleans->TCU->Wisconsin->Michigan,6
Eastern Kentucky,Eastern Kentucky->Bellarmine->Houston Christian->New Orleans->TCU->Wisconsin->Michigan,6
Northwood,Northwood->Western Michigan->Eastern Michigan->Cincinnati->BYU->Wisconsin->Michigan,6
Wilmington (DE),Wilmington (DE)->Delaware->Middle Tennessee->UAB->High Point->Wisconsin->Michigan,6
Harvard,Harvard->Marist->Quinnipiac->Pitt->Ohio State->Wisconsin->Michigan,6
Brown,Brown->Columbia->Longwood->Winthrop->High Point->Wisconsin->Michigan,6
Cornell,Cornell->Yale->Quinnipiac->Pitt->Ohio State->Wisconsin->Michigan,6
Princeton,Princeton->Vermont->Pepperdine->New Orleans->TCU->Wisconsin->Michigan,6
Dartmouth,Dartmouth->Saint Peter's->Quinnipiac->Pitt->Ohio State->Wisconsin->Michigan,6
Virginia State,Virginia State->Delaware State->Longwood->Winthrop->High Point->Wisconsin->Michigan,6
Montana Tech,Montana Tech->Montana->Cal Poly->Utah->TCU->Wisconsin->Michigan,6
North Greenville,North Greenville->Gardner-Webb->USC Upstate->Fresno State->New Orleans->TCU->Wisconsin->Michigan,7
