team,path,distance
Stephen F. Austin,Stephen F. Austin->New Orleans->TCU->Wisconsin->Michigan,4
Virginia Tech,Virginia Tech->Notre Dame->TCU->Wisconsin->Michigan,4
Charleston Southern,Charleston Southern->Winthrop->High Point->Wisconsin->Michigan,4
Coastal Carolina,Coastal Carolina->Winthrop->High Point->Wisconsin->Michigan,4
Xavier,Xavier->West Virginia->BYU->Wisconsin->Michigan,4
Belmont,Belmont->Southern Illinois->High Point->Wisconsin->Michigan,4
DePaul,DePaul->Georgetown->Villanova->Wisconsin->Michigan,4
Houston Christian,Houston Christian->New Orleans->TCU->Wisconsin->Michigan,4
UIC,UIC->Southern Illinois->High Point->Wisconsin->Michigan,4
Ole Miss,Ole Miss->Auburn->Oregon->Wisconsin->Michigan,4
Southeastern Louisiana,Southeastern Louisiana->New Orleans->TCU->Wisconsin->Michigan,4
North Texas,North Texas->UAB->High Point->Wisconsin->Michigan,4
Oklahoma,Oklahoma->Oklahoma State->BYU->Wisconsin->Michigan,4
Saint Louis,Saint Louis->VCU->UNC->Duke->Michigan,4
South Florida,South Florida->Utah State->Villanova->Wisconsin->Michigan,4
Texas A&M,Texas A&M->Texas->BYU->Wisconsin->Michigan,4
Northwestern State,Northwestern State->New Orleans->TCU->Wisconsin->Michigan,4
Texas A&M-Corpus Christi,Texas A&M-Corpus Christi->New Orleans->TCU->Wisconsin->Michigan,4
Tulane,Tulane->UAB->High Point->Wisconsin->Michigan,4
Tulsa,Tulsa->UAB->High Point->Wisconsin->Michigan,4
Vanderbilt,Vanderbilt->UCF->BYU->Wisconsin->Michigan,4
Grand Canyon,Grand Canyon->Utah->TCU->Wisconsin->Michigan,4
Purdue Fort Wayne,Purdue Fort Wayne->Notre Dame->TCU->Wisconsin->Michigan,4
Northern Colorado,Northern Colorado->Colorado->TCU->Wisconsin->Michigan,4
Oregon State,Oregon State->Arizona State->Texas Tech->Duke->Michigan,4
North Dakota State,North Dakota State->Southern Illinois->High Point->Wisconsin->Michigan,4
Pepperdine,Pepperdine->New Orleans->TCU->Wisconsin->Michigan,4
Fresno State,Fresno State->New Orleans->TCU->Wisconsin->Michigan,4
Portland,Portland->Gonzaga->UCLA->Purdue->Michigan,4
Saint Mary's,Saint Mary's->Gonzaga->Oregon->Wisconsin->Michigan,4
Seattle,Seattle->Washington->USC->Wisconsin->Michigan,4
Nicholls State,Nicholls State->New Orleans->TCU->Wisconsin->Michigan,4
Florida State,Florida State->Miami (FL)->UNC->Duke->Michigan,4
Wichita State,Wichita State->Oklahoma State->BYU->Wisconsin->Michigan,4
UNC Asheville,UNC Asheville->Appalachian State->High Point->Wisconsin->Michigan,4
Nevada,Nevada->Utah State->Villanova->Wisconsin->Michigan,4
UNLV,UNLV->Stanford->UNC->Duke->Michigan,4
Kansas State,Kansas State->California->UCLA->Purdue->Michigan,4
Valparaiso,Valparaiso->Southern Illinois->High Point->Wisconsin->Michigan,4
Santa Clara,Santa Clara->Minnesota->Indiana->Wisconsin->Michigan,4
Elon,Elon->Appalachian State->High Point->Wisconsin->Michigan,4
Middle Tennessee,Middle Tennessee->UAB->High Point->Wisconsin->Michigan,4
New Mexico,New Mexico->San Diego State->Oregon->Wisconsin->Michigan,4
Butler,Butler->Virginia->Ohio State->Wisconsin->Michigan,4
Richmond,Richmond->Southern Illinois->High Point->Wisconsin->Michigan,4
LSU,LSU->New Orleans->TCU->Wisconsin->Michigan,4
Mississippi State,Mississippi State->New Orleans->TCU->Wisconsin->Michigan,4
Illinois State,Illinois State->Southern Illinois->High Point->Wisconsin->Michigan,4
Alabama State,Alabama State->UAB->High Point->Wisconsin->Michigan,4
Memphis,Memphis->Southern Illinois->High Point->Wisconsin->Michigan,4
Lehigh,Lehigh->Texas State->Appalachian State->High Point->Wisconsin->Michigan,5
Oakland,Oakland->Purdue Fort Wayne->Notre Dame->TCU->Wisconsin->Michigan,5
Eastern Washington,Eastern Washington->Northern Colorado->Colorado->TCU->Wisconsin->Michigan,5
Southern,Southern->Northwestern State->New Orleans->TCU->Wisconsin->Michigan,5
FDU,FDU->Central Connecticut->Rutgers->Oregon->Wisconsin->Michigan,5
Jackson State,Jackson State->Alabama State->UAB->High Point->Wisconsin->Michigan,5
Green Bay,Green Bay->Purdue Fort Wayne->Notre Dame->TCU->Wisconsin->Michigan,5
Bethune-Cookman,Bethune-Cookman->Alabama State->UAB->High Point->Wisconsin->Michigan,5
Texas Southern,Texas Southern->Alabama State->UAB->High Point->Wisconsin->Michigan,5
Akron,Akron->James Madison->Appalachian State->High Point->Wisconsin->Michigan,5
Indiana State,Indiana State->Belmont->Southern Illinois->High Point->Wisconsin->Michigan,5
Western Carolina,Western Carolina->UNC Asheville->Appalachian State->High Point->Wisconsin->Michigan,5
Wofford,Wofford->Mercer->Appalachian State->High Point->Wisconsin->Michigan,5
Maryland-Eastern Shore,Maryland-Eastern Shore->Longwood->Winthrop->High Point->Wisconsin->Michigan,5
Liberty,Liberty->Florida Atlantic->UAB->High Point->Wisconsin->Michigan,5
IU Indianapolis,IU Indianapolis->Eastern Michigan->Cincinnati->BYU->Wisconsin->Michigan,5
Fairfield,Fairfield->Central Connecticut->Rutgers->Oregon->Wisconsin->Michigan,5
Youngstown State,Youngstown State->Purdue Fort Wayne->Notre Dame->TCU->Wisconsin->Michigan,5
Presbyterian,Presbyterian->Georgia State->Appalachian State->High Point->Wisconsin->Michigan,5
American,American->Longwood->Winthrop->High Point->Wisconsin->Michigan,5
Northern Illinois,Northern Illinois->Central Michigan->Appalachian State->High Point->Wisconsin->Michigan,5
Louisiana-Monroe,Louisiana-Monroe->Old Dominion->Appalachian State->High Point->Wisconsin->Michigan,5
Hawaii Pacific,Hawaii Pacific->Boise State->San Diego State->Oregon->Wisconsin->Michigan,5
Montana State,Montana State->Cal Poly->Utah->TCU->Wisconsin->Michigan,5
Incarnate Word,Incarnate Word->McNeese->New Orleans->TCU->Wisconsin->Michigan,5
Wyoming,Wyoming->Fresno State->New Orleans->TCU->Wisconsin->Michigan,5
Cal State Bakersfield,Cal State Bakersfield->Fresno State->New Orleans->TCU->Wisconsin->Michigan,5
